Sentence #,Input Language,Reference (Actual Translation),Prediction (Model Translation),Accuracy
1,I was sick.,tom est insensible. <eos>,tom est horrible.,0.67
2,Why bother?,prenez du gâteau. <eos>,prends du lait.,0.33
3,I smoke.,le chien est mort. <eos>,le chien est semble ?,0.75
4,"Here, catch!",tom faisait du ski. <eos>,tom était en train de le blague.,0.25
5,No way!,je ne m'y suis pas rendue. <eos>,je ne suis pas parti.,0.33
6,I never bet.,il nous faut un plan. <eos>,il nous faut un médecin.,0.80
7,You tried.,qu'est-ce qui ne va pas ? <eos>,qu'est-ce qui a ?,0.33
8,Take care.,va chercher l'appareil photo. <eos>,prends la caméra.,0.00
9,I'm good.,ne va pas si vite. <eos>,ne va pas en !,0.60
10,I want that.,est-ce éthique ? <eos>,est-ce que c'est ?,0.33
11,It's my job.,ça fera l'affaire. <eos>,ça fera ?,0.67
12,I apologize.,j'ai été reçue. <eos>,j'ai été crédule.,0.67
13,I got busy.,ce n'est pas bon. <eos>,ce n'est pas un mien.,0.75
14,I play jazz.,c'est eux. <eos>,les êtes !,0.00
15,I'm a cop.,ne souris pas. <eos>,ne suis pas !,0.33
